race,date,meanIncome,county,percentage
other,2011,17980,Queens,12.2
other,2011,21081,Rensselaer,0.6
other,2011,16656,Richmond,2.7
other,2011,16950,Rockland,8.6
other,2011,0,St. Lawrence,0.8
other,2011,0,Saratoga,0.2
other,2011,6901,Schenectady,2.6
other,2011,11567,Steuben,0.7
other,2011,16704,Suffolk,5.8
other,2011,16914,Sullivan,7.6
other,2011,13743,Tompkins,1.2
other,2011,14322,Ulster,1.6
other,2011,0,Warren,0.2
other,2011,21477,Wayne,0.5
other,2011,15492,Westchester,9.7
mixed,2011,14752,Albany,3.2
mixed,2011,12364,Bronx,3.6
mixed,2011,8278,Broome,2.1
mixed,2011,8305,Cattaraugus,1.5
mixed,2011,9853,Cayuga,2.1
mixed,2011,3169,Chautauqua,1.6
mixed,2011,21200,Chemung,1.9
mixed,2011,0,Clinton,1.1
mixed,2011,20859,Dutchess,2.7
mixed,2011,12033,Erie,2.5
mixed,2011,7099,Jefferson,3.5
mixed,2011,23300,Kings,1.9
mixed,2011,7927,Livingston,1.6
mixed,2011,16051,Madison,2.3
mixed,2011,14967,Monroe,2.7
mixed,2011,17899,Nassau,2.4
mixed,2011,29553,New York,4.1
mixed,2011,6934,Niagara,1.4
mixed,2011,4414,Oneida,3.0
mixed,2011,12099,Onondaga,3.1
mixed,2011,11588,Ontario,2.1
mixed,2011,14354,Orange,3.5
mixed,2011,3972,Oswego,1.4
mixed,2011,8901,Putnam,3.0
mixed,2011,20694,Queens,3.6
mixed,2011,10859,Rensselaer,3.3
mixed,2011,18123,Richmond,1.5
mixed,2011,32495,Rockland,2.0
mixed,2011,7057,St. Lawrence,2.0
mixed,2011,9305,Saratoga,2.0
mixed,2011,16813,Schenectady,3.9
mixed,2011,21557,Steuben,0.6
mixed,2011,16852,Suffolk,2.1
mixed,2011,6664,Sullivan,2.9
mixed,2011,10230,Tompkins,2.7
mixed,2011,9927,Ulster,3.2
mixed,2011,3050,Warren,1.2
mixed,2011,13953,Wayne,1.1
mixed,2011,18422,Westchester,3.3
latino,2011,16137,Albany,5.2
latino,2011,13448,Bronx,53.8
latino,2011,11694,Broome,3.5
latino,2011,7872,Cattaraugus,1.8
latino,2011,14858,Cayuga,2.5
latino,2011,9994,Chautauqua,6.3
latino,2011,8185,Chemung,2.7
latino,2011,4819,Clinton,3.4
latino,2011,16387,Dutchess,10.8
latino,2011,13369,Erie,4.7
latino,2011,14115,Jefferson,6.1
latino,2011,15675,Kings,20.0
latino,2011,7575,Livingston,2.9
latino,2011,17948,Madison,2.0
latino,2011,12965,Monroe,7.5
latino,2011,22063,Nassau,15.0
latino,2011,20372,New York,25.6
latino,2011,17143,Niagara,2.3
latino,2011,7413,Oneida,4.8
latino,2011,14080,Onondaga,4.3
latino,2011,13983,Ontario,3.7
latino,2011,18765,Orange,18.5
latino,2011,9892,Oswego,2.2
latino,2011,25510,Putnam,12.0
latino,2011,18624,Queens,27.8
latino,2011,22315,Rensselaer,4.1
latino,2011,23002,Richmond,17.6
latino,2011,20022,Rockland,16.1
latino,2011,12316,St. Lawrence,2.0
latino,2011,20564,Saratoga,2.6
latino,2011,9664,Schenectady,6.0
latino,2011,12786,Steuben,1.5
latino,2011,20822,Suffolk,17.0
latino,2011,17101,Sullivan,13.9
latino,2011,20324,Tompkins,4.6
latino,2011,14577,Ulster,9.0
latino,2011,22836,Warren,1.9
latino,2011,14867,Wayne,3.9
latino,2011,20159,Westchester,22.4
total,2012,31014,Albany,100
total,2012,17603,Bronx,100
total,2012,24948,Broome,100
total,2012,21470,Cattaraugus,100
total,2012,23797,Cayuga,100
total,2012,22671,Chautauqua,100
